Domain Report:
+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+
| Doma | IPv4 | IPv6 | HTTP | Inse | Redi | HSTS | TLS | Roo | RDN | RTT | Geo |
|  in  | Addr | Addr | Serv | cure | rect |      | Ver |  t  | S N | Ran | Loc |
|      | esse | esse |  er  | HTTP | to H |      | sio | CA  | ame | ge  | ati |
|      |  s   |  s   |      |      | TTPS |      | ns  |     |  s  |     | ons |
+======+======+======+======+======+======+======+=====+=====+=====+=====+=====+
| asee | 20.4 |      | Micr | True | True | Fals | TLS | Dig |     | 222 | Was |
| .org | 9.10 |      | osof |      |      | e    | v1. | iCe |     | .38 | hin |
|      | 4.48 |      | t-II |      |      |      | 2,  | rt, |     | 206 | gto |
|      |      |      | S/10 |      |      |      | TLS | Inc |     | 863 | n,  |
|      |      |      | .0   |      |      |      | v1. | .   |     | 403 | Vir |
|      |      |      |      |      |      |      | 3   |     |     | 32, | gin |
|      |      |      |      |      |      |      |     |     |     | 222 | ia, |
|      |      |      |      |      |      |      |     |     |     | .38 | Uni |
|      |      |      |      |      |      |      |     |     |     | 206 | ted |
|      |      |      |      |      |      |      |     |     |     | 863 | Sta |
|      |      |      |      |      |      |      |     |     |     | 403 | tes |
|      |      |      |      |      |      |      |     |     |     | 32  |     |
+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+
| audi | 144. |      | Apac | True | True | Fals | TLS | Let | twi | 154 | Cen |
| tory | 214. |      | he/2 |      |      | e    | v1. | 's  | nkl | .78 | tra |
| neur | 26.1 |      | .4.5 |      |      |      | 2,  | Enc | e.b | 301 | l,  |
| osci | 11   |      | 8 (U |      |      |      | TLS | ryp | ms. | 048 | Cen |
| ence |      |      | bunt |      |      |      | v1. | t   | cit | 278 | tra |
| .com |      |      | u)   |      |      |      | 3   |     | yu. | 81, | l   |
|      |      |      |      |      |      |      |     |     | edu | 154 | and |
|      |      |      |      |      |      |      |     |     | .hk | .78 | Wes |
|      |      |      |      |      |      |      |     |     |     | 301 | ter |
|      |      |      |      |      |      |      |     |     |     | 048 | n D |
|      |      |      |      |      |      |      |     |     |     | 278 | ist |
|      |      |      |      |      |      |      |     |     |     | 81  | ric |
|      |      |      |      |      |      |      |     |     |     |     | t,  |
|      |      |      |      |      |      |      |     |     |     |     | Hon |
|      |      |      |      |      |      |      |     |     |     |     | g K |
|      |      |      |      |      |      |      |     |     |     |     | ong |
+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+
| cloc | 104. | 2606 | clou | True | True | Fals | TLS | Goo |     | 107 | Uni |
| ktab | 21.4 | :470 | dfla |      |      | e    | v1. | gle |     | .10 | ted |
| .com | 7.19 | 0:30 | re   |      |      |      | 2,  | Tru |     | 000 | Sta |
|      | 4, 1 | 36:: |      |      |      |      | TLS | st  |     | 991 | tes |
|      | 72.6 | ac43 |      |      |      |      | v1. | Ser |     | 821 |     |
|      | 7.17 | :ac2 |      |      |      |      | 3   | vic |     | 289 |     |
|      | 2.37 | 5, 2 |      |      |      |      |     | es  |     | , 1 |     |
|      |      | 606: |      |      |      |      |     | LLC |     | 20. |     |
|      |      | 4700 |      |      |      |      |     |     |     | 810 |     |
|      |      | :303 |      |      |      |      |     |     |     | 031 |     |
|      |      | 6::6 |      |      |      |      |     |     |     | 890 |     |
|      |      | 815: |      |      |      |      |     |     |     | 869 |     |
|      |      | 2fc2 |      |      |      |      |     |     |     | 14  |     |
+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+
| grad | 51.7 |      | ngin | True | True | Fals | TLS | Let | gw1 | 274 | Vic |
| einf | 9.45 |      | x    |      |      | e    | v1. | 's  | .ah | .92 | tor |
| lati | .180 |      |      |      |      |      | 2,  | Enc | s5. | 213 | ia, |
| on.c |      |      |      |      |      |      | TLS | ryp | r4l | 249 | Bri |
| om   |      |      |      |      |      |      | v1. | t   | .co | 206 | tis |
|      |      |      |      |      |      |      | 3   |     | m   | 543 | h C |
|      |      |      |      |      |      |      |     |     |     | , 2 | olu |
|      |      |      |      |      |      |      |     |     |     | 74. | mbi |
|      |      |      |      |      |      |      |     |     |     | 922 | a,  |
|      |      |      |      |      |      |      |     |     |     | 132 | Can |
|      |      |      |      |      |      |      |     |     |     | 492 | ada |
|      |      |      |      |      |      |      |     |     |     | 065 |     |
|      |      |      |      |      |      |      |     |     |     | 43  |     |
+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+
| illi | 192. |      | Apac | True | True | Fals | TLS | Int | tar | 196 | Urb |
| nois | 17.1 |      | he/2 |      |      | e    | v1. | ern | dis | .16 | ana |
| .edu | 72.3 |      | .2.1 |      |      |      | 2,  | et2 | .te | 913 | , I |
|      |      |      | 5    |      |      |      | TLS |     | chs | 795 | lli |
|      |      |      | (Red |      |      |      | v1. |     | erv | 471 | noi |
|      |      |      | Hat) |      |      |      | 3   |     | ice | 19, | s,  |
|      |      |      | mod_ |      |      |      |     |     | s.i | 196 | Uni |
|      |      |      | ssl/ |      |      |      |     |     | lli | .16 | ted |
|      |      |      | 2.2. |      |      |      |     |     | noi | 913 | Sta |
|      |      |      | 15 O |      |      |      |     |     | s.e | 795 | tes |
|      |      |      | penS |      |      |      |     |     | du  | 471 |     |
|      |      |      | SL/1 |      |      |      |     |     |     | 19  |     |
|      |      |      | .0.1 |      |      |      |     |     |     |     |     |
|      |      |      | e-fi |      |      |      |     |     |     |     |     |
|      |      |      | ps   |      |      |      |     |     |     |     |     |
+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+
| it.e | 129. |      | Apac | True | Fals | Fals | TLS | Non | it. | 199 | Chi |
| ecs. | 105. |      | he/2 |      | e    | e    | v1. | e   | ece | .66 | cag |
| nort | 5.14 |      | .4.3 |      |      |      | 2,  |     | .no | 101 | o,  |
| hwes | 2    |      | 7    |      |      |      | TLS |     | rth | 646 | Ill |
| tern |      |      | (Red |      |      |      | v1. |     | wes | 423 | ino |
| .edu |      |      | Hat  |      |      |      | 3   |     | ter | 34, | is, |
|      |      |      | Ente |      |      |      |     |     | n.e | 199 | Uni |
|      |      |      | rpri |      |      |      |     |     | du  | .66 | ted |
|      |      |      | se L |      |      |      |     |     |     | 101 | Sta |
|      |      |      | inux |      |      |      |     |     |     | 646 | tes |
|      |      |      | ) Op |      |      |      |     |     |     | 423 |     |
|      |      |      | enSS |      |      |      |     |     |     | 34  |     |
|      |      |      | L/1. |      |      |      |     |     |     |     |     |
